Ordem;Tipo de ordem;Código ABC;EQUIPE;Data-base iníc.;Loc.instalação;Denominação;Texto breve;Número;TOTAL HH;Status
7159357;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;VALVULA SAIDA ROSCA 101 SILO 101 MIST 03;PREVENTIVA VALVULA SAIDA ROSCA 101 M3;2;4;0
7159358;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;VALVULA SAIDA ROSCA 102 SILO 102 MIST 03;PREVENTIVA VALVULA SAIDA ROSCA 102 M3;2;4;0
7159359;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;VALVULA SAIDA ROSCA 103 SILO 103 MIST 03;PREVENTIVA VALVULA SAIDA ROSCA 103 M3;2;4;0
7159360;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;VALVULA SAIDA ROSCA 104 SILO 104 MIST 03;PREVENTIVA VALVULA SAIDA ROSCA 104 M3;2;4;0
7159361;ZM03;C;EQUIPE 3;03/08/2024;1301-INDL-ZOOA-MISTURA03;VALVULA SAIDA ROSCA 105 SILO MIST 03;PREVENTIVA VALVULA SAIDA ROSCA 105 M3;2;4;0
7163917;ZM03;C;EQUIPE 5;03/08/2024;1301-INDL-ZOOA-MISTURA03;ELEVADOR CANECAS 01 MISTURA 03 ZOOTECNIC;4M-PREV MECANICA ELEVADOR CANECA 1 M3;2;16;0
7165888;ZM03;A;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;PALETPAC BEUMER M3 - PL-55439B;1M-PREV MEC PALETIZADORA BEUMER M3;1;15;0
7158279;ZM03;C;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;;PREVENTIVA LINHA 1 ENSACADEIRA M3;1;8;0
7158280;ZM03;C;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;;PREVENTIVA LINHA 2 ENSACADEIRA M3;1;8;0
7158611;ZM03;;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;TE GRAVIDADE BEUMER PAYPER M3;PREVENTIVA TE GRAVIDADE BEUMER PAYPER M3;2;8;0
7158823;ZM03;C;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;;PREVENTIVA ESTEIRA ROLETES BEUMER M3;0;0;0
7164503;ZM03;C;EQUIPE 4;03/08/2024;1301-INDL-ZOOA-MISTURA03;MAQUINA STRECH MISTURA 03 ZOOTECNICA;4M-PREV MECANICA MAQUINA STRECH M3;2;10;0
7155691;ZM03;A;EQUIPE 2;03/08/2024;1301-INDL-ZOOA-MISTURA03;MISTURADOR FORBERG MISTURA 03 ZOOTECNICA;4M-PREV MEC MISTURADOR FORBER M3;2;16;0
